"country","decimalLatitude","decimalLongitude","Site","yearCollected","monthCollected","dayCollected","date","date_t1","date_t2","genus","species","scientific","susceptibility","BdDetected","BsalDetected","fatal","sppAbun","siteAbun","richness","alphadiv","soilMoisture_date","soilMoisture_date_t1","soilMoisture_date_t2","temp_date","temp_date_t1","temp_date_t2"
"Belgium",50.769532,3.936635,302,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.769532,3.936635,302,2015,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.45155,6.103064,188,2014,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","1",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.17741,5.22195,116,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,25,25,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.594909,5.542909,221,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.528162,5.825166,197,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,31,31,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.54141,5.782921,199,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.56712,5.247461,208,2018,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,36,36,1,0,NA,NA,NA,NA,NA,NA
"Switzerland",46.159648,9.002659,48,2015,12,18,2015-12-18,2015-11-18,2015-10-19,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",4,4,1,1.38629436111989,5.5385103225708,5.94973707199097,6.87826919555664,3.453607177734,7.541589355469,5.33791503906201
"Switzerland",46.159648,9.002659,48,2013,12,20,2013-12-20,2013-11-20,2013-10-21,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",14,14,1,2.63905732961526,6.0842924118042,6.94420480728149,6.09460639953613,-0.131933593749977,2.138757324219,9.36394653320303
