principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Steven Allain,United Kingdom,"Cambridge, England",2017,,,10A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,5,23,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2144fa16b73bb45ff2572bd0a1f5d7e98,https://n2t.net/ark:/21547/DTL210A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,11A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,5,23,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM285c877255b72311a1f7aac16504f3f35,https://n2t.net/ark:/21547/DTL211A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,12A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,5,23,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM26bcba726e3e1511e67c8566fb58556ee,https://n2t.net/ark:/21547/DTL212A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,14A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,6,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2d6f45060ae392c2d233892fca12fd08c,https://n2t.net/ark:/21547/DTL214A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,26A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,7,13,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2c7ba9001233c4b88bbc85b1e4a55f015,https://n2t.net/ark:/21547/DTL226A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,25A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,7,13,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2d83e7e4291357718479c6fc4e32cbaa8,https://n2t.net/ark:/21547/DTL225A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,31A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,10,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM27e3d441afd9575932e4fb102a386f8f7,https://n2t.net/ark:/21547/DTL231A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,30A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,10,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2ca19059933fa5591ae67dbba6b4f1234,https://n2t.net/ark:/21547/DTL230A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,29A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,10,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2ff657ef39a349d66eac9a192655fd090,https://n2t.net/ark:/21547/DTL229A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,28A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,10,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2908303bbfd3cb31c9b8631767744e6cc,https://n2t.net/ark:/21547/DTL228A,cambridge,248
