principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Alessandro Catenazzi,USA,USA,2014,,,1432.14,LivingSpecimen,Desmognathus,quadramaculatus,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1117,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2537ee029079d845cc4adfcebbca87fd3,https://n2t.net/ark:/21547/DSv21432.14,bsal-tri,243
Alessandro Catenazzi,USA,USA,2014,,,1433.14,LivingSpecimen,Desmognathus,quadramaculatus,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1117,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw277a7c35fe5cce5807d000367410e3c73,https://n2t.net/ark:/21547/DSv21433.14,bsal-tri,243
Alessandro Catenazzi,USA,USA,2014,,,1434.14,LivingSpecimen,Desmognathus,quadramaculatus,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1117,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2de6f8ca4ab7cf97f255354546c875704,https://n2t.net/ark:/21547/DSv21434.14,bsal-tri,243
Alessandro Catenazzi,USA,USA,2014,,,1435.14,LivingSpecimen,Desmognathus,sp.,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1117,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2426dba0d5b315c15cce39e19b740a8ef,https://n2t.net/ark:/21547/DSv21435.14,bsal-tri,243
Alessandro Catenazzi,USA,USA,2014,,,1436.14,LivingSpecimen,Desmognathus,sp.,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1117,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw24d00690a95d8d07839d52f54d3344b79,https://n2t.net/ark:/21547/DSv21436.14,bsal-tri,243
Alessandro Catenazzi,USA,USA,2014,,,1437.14,LivingSpecimen,Desmognathus,sp.,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1117,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw246f21c740b7c8603bd41d259f0508bcd,https://n2t.net/ark:/21547/DSv21437.14,bsal-tri,243
Alessandro Catenazzi,USA,USA,2014,,,1439.14,LivingSpecimen,Desmognathus,monticola,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1117,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw21e01453c14d326dbda1a3df11f6f3261,https://n2t.net/ark:/21547/DSv21439.14,bsal-tri,243
Alessandro Catenazzi,Italy,Italy,2015,,,4216,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,26,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2b3e92543bdf1f7dc11ea478e57850723,https://n2t.net/ark:/21547/DSv24216,bsal-tri,243
Alessandro Catenazzi,Italy,Italy,2015,,,4218,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,26,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw25b1116eaf19d4a618ff9acc57d92c562,https://n2t.net/ark:/21547/DSv24218,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,1173.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,14,,,,,,,,,,,,30,,550,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2aa76ff1e574977af8f917280910bafc7,https://n2t.net/ark:/21547/DSv21173.14,bsal-tri,243
