Lat,Lon,timepoint,year,month,day,SOILMOIST_kgm-21,SURFTEMP_K1
50.70277,6.417944,t30,"2014","9","7",5.77390336990356,
50.70277,6.417944,t30,"2014","9","8",5.76266002655029,
50.70277,6.417944,t0,"2014","9","9",5.74142599105835,
50.70277,6.417944,t28,"2014","9","9",5.74142599105835,
50.70277,6.417944,t27,"2014","9","10",5.73688507080078,
50.70277,6.417944,t28,"2014","9","10",5.73688507080078,
50.70277,6.417944,t26,"2014","9","11",5.77806949615479,
50.70277,6.417944,t27,"2014","9","11",5.77806949615479,
50.173356,7.62397,t30,"2014","9","12",5.14183568954468,
50.70277,6.417944,t25,"2014","9","12",5.72154474258423,
50.70277,6.417944,t26,"2014","9","12",5.72154474258423,
50.70277,6.417944,t24,"2014","9","13",5.7265362739563,
50.70277,6.417944,t25,"2014","9","13",5.7265362739563,
50.70277,6.417944,t23,"2014","9","14",5.72855186462402,
50.70277,6.417944,t24,"2014","9","14",5.72855186462402,
50.173356,7.62397,t28,"2014","9","14",5.14535522460938,
50.70277,6.417944,t22,"2014","9","15",5.71769142150879,
50.70277,6.417944,t23,"2014","9","15",5.71769142150879,
50.173356,7.62397,t27,"2014","9","15",5.12613725662231,
50.70277,6.417944,t21,"2014","9","16",5.69389009475708,
50.70277,6.417944,t22,"2014","9","16",5.69389009475708,
50.173356,7.62397,t26,"2014","9","16",5.0906925201416,
50.70277,6.417944,t20,"2014","9","17",5.66523361206055,
50.70277,6.417944,t21,"2014","9","17",5.66523361206055,
50.173356,7.62397,t25,"2014","9","17",5.06223392486572,
50.70277,6.417944,t19,"2014","9","18",6.03823661804199,
50.70277,6.417944,t20,"2014","9","18",6.03823661804199,
50.173356,7.62397,t24,"2014","9","18",5.16164445877075,
50.70277,6.417944,t18,"2014","9","19",5.94285297393799,
50.70277,6.417944,t19,"2014","9","19",5.94285297393799,
50.173356,7.62397,t23,"2014","9","19",5.17853879928589,
50.70277,6.417944,t17,"2014","9","20",5.9648642539978,
50.70277,6.417944,t18,"2014","9","20",5.9648642539978,
50.173356,7.62397,t22,"2014","9","20",5.2947940826416,
50.70277,6.417944,t16,"2014","9","21",6.10360622406006,
50.70277,6.417944,t17,"2014","9","21",6.10360622406006,
50.173356,7.62397,t21,"2014","9","21",5.42945861816406,
50.70277,6.417944,t15,"2014","9","22",5.90609931945801,
50.70277,6.417944,t16,"2014","9","22",5.90609931945801,
50.173356,7.62397,t20,"2014","9","22",5.26383352279663,
50.70277,6.417944,t14,"2014","9","23",5.8180079460144,
50.70277,6.417944,t15,"2014","9","23",5.8180079460144,
50.173356,7.62397,t19,"2014","9","23",5.1831841468811,
50.70277,6.417944,t14,"2014","9","24",5.89296054840088,
50.70277,6.417944,t13,"2014","9","24",5.89296054840088,
50.173356,7.62397,t18,"2014","9","24",5.23213148117065,
50.70277,6.417944,t12,"2014","9","25",5.81000185012817,
50.70277,6.417944,t13,"2014","9","25",5.81000185012817,
50.173356,7.62397,t17,"2014","9","25",5.19233083724976,
50.70277,6.417944,t11,"2014","9","26",5.77553653717041,
50.70277,6.417944,t12,"2014","9","26",5.77553653717041,
50.173356,7.62397,t16,"2014","9","26",5.14849996566772,
50.70277,6.417944,t10,"2014","9","27",5.77452182769775,
50.70277,6.417944,t11,"2014","9","27",5.77452182769775,
50.173356,7.62397,t15,"2014","9","27",5.15223932266235,
50.70277,6.417944,t10,"2014","9","28",5.73851823806763,
50.173356,7.62397,t14,"2014","9","28",5.11892890930176,
50.70277,6.417944,t9,"2014","9","28",5.73851823806763,
50.70277,6.417944,t8,"2014","9","29",5.82241439819336,
50.70277,6.417944,t9,"2014","9","29",5.82241439819336,
50.173356,7.62397,t13,"2014","9","29",5.11635541915894,
50.70277,6.417944,t7,"2014","9","30",5.76276159286499,
50.70277,6.417944,t8,"2014","9","30",5.76276159286499,
50.173356,7.62397,t12,"2014","9","30",5.13002443313599,
50.70277,6.417944,t7,"2014","10",true,5.74339771270752,
50.173356,7.62397,t11,"2014","10",true,5.11984968185425,
50.173356,7.62397,t10,"2014","10","2",5.08875465393066,
50.70277,6.417944,t4,"2014","10","3",5.70852899551392,
50.173356,7.62397,t9,"2014","10","3",5.0677227973938,
50.70277,6.417944,t4,"2014","10","4",5.68705320358276,
50.173356,7.62397,t8,"2014","10","4",5.05293560028076,
50.173356,7.62397,t7,"2014","10","5",5.09906768798828,
50.70277,6.417944,t0,"2014","10","7",6.08338260650635,
50.70277,6.417944,t0,"2014","10","8",6.12969160079956,
50.173356,7.62397,t4,"2014","10","8",5.57584810256958,
50.173356,7.62397,t0,"2014","10","12",5.46841716766357,
46.159648,9.002659,t30,"2014","11","14",7.50376749038696,
46.159648,9.002659,t28,"2014","11","16",7.76627683639526,
46.159648,9.002659,t27,"2014","11","17",7.72627449035645,
46.159648,9.002659,t26,"2014","11","18",7.5836968421936,
46.159648,9.002659,t25,"2014","11","19",7.44545888900757,
46.159648,9.002659,t24,"2014","11","20",7.31951475143433,
46.159648,9.002659,t23,"2014","11","21",7.21247005462646,
46.159648,9.002659,t22,"2014","11","22",7.12650299072266,
46.159648,9.002659,t21,"2014","11","23",7.060875415802,
46.159648,9.002659,t20,"2014","11","24",6.98999881744385,
46.159648,9.002659,t19,"2014","11","25",6.95058536529541,
46.159648,9.002659,t18,"2014","11","26",6.98782730102539,
46.159648,9.002659,t17,"2014","11","27",7.02144813537598,
46.159648,9.002659,t16,"2014","11","28",7.05935525894165,
46.159648,9.002659,t15,"2014","11","29",6.93474054336548,
46.159648,9.002659,t14,"2014","11","30",6.95475435256958,
46.159648,9.002659,t13,"2014","12",true,7.23266649246216,
46.159648,9.002659,t12,"2014","12","2",7.06228113174438,
46.159648,9.002659,t11,"2014","12","3",7.0062952041626,
46.159648,9.002659,t10,"2014","12","4",7.0219030380249,
46.159648,9.002659,t9,"2014","12","5",6.93170642852783,
46.159648,9.002659,t8,"2014","12","6",6.91730546951294,
46.159648,9.002659,t7,"2014","12","7",6.85487985610962,
46.159648,9.002659,t4,"2014","12","10",6.69102954864502,
46.274131,8.7741,t30,"2014","12","12",6.91429424285889,
46.159648,9.002659,t0,"2014","12","14",6.67425441741943,
46.274131,8.7741,t28,"2014","12","14",7.00668096542358,
46.274131,8.7741,t27,"2014","12","15",7.06773471832275,
46.274131,8.7741,t26,"2014","12","16",7.26883268356323,
46.274131,8.7741,t25,"2014","12","17",7.11685657501221,
46.274131,8.7741,t24,"2014","12","18",7.05475425720215,
46.274131,8.7741,t23,"2014","12","19",6.99099493026733,
46.274131,8.7741,t22,"2014","12","20",6.97362470626831,
46.274131,8.7741,t21,"2014","12","21",6.90534257888794,
46.274131,8.7741,t20,"2014","12","22",6.86350536346436,
46.274131,8.7741,t19,"2014","12","23",6.82503938674927,
46.274131,8.7741,t18,"2014","12","24",6.79061841964722,
46.274131,8.7741,t17,"2014","12","25",6.81827402114868,
46.274131,8.7741,t16,"2014","12","26",6.73962688446045,
46.274131,8.7741,t15,"2014","12","27",6.7249174118042,
46.274131,8.7741,t14,"2014","12","28",6.7053542137146,
46.274131,8.7741,t13,"2014","12","29",6.67905473709106,
46.274131,8.7741,t12,"2014","12","30",6.6605658531189,
46.274131,8.7741,t11,"2014","12","31",6.64338159561157,
46.274131,8.7741,t10,"2015",true,true,6.67975473403931,
46.274131,8.7741,t9,"2015",true,"2",6.88016080856323,
46.274131,8.7741,t8,"2015",true,"3",6.90854644775391,
46.274131,8.7741,t7,"2015",true,"4",7.0046854019165,
46.274131,8.7741,t4,"2015",true,"7",6.65144634246826,
46.274131,8.7741,t0,"2015",true,"11",6.79450750350952,
50.735368,6.294149,t30,"2015","2","23",6.64342737197876,
49.856404,6.448138,t30,"2015","2","24",6.45835494995117,
50.735368,6.294149,t28,"2015","2","25",6.48983860015869,
50.735368,6.294149,t27,"2015","2","26",6.51309108734131,
49.856404,6.448138,t28,"2015","2","26",6.49311971664429,
50.756932,6.321338,t30,"2015","2","27",7.35429000854492,
50.707151,6.391554,t30,"2015","2","27",6.61969804763794,
50.735368,6.294149,t26,"2015","2","27",6.61969804763794,
49.856404,6.448138,t27,"2015","2","27",6.61894655227661,
50.735368,6.294149,t25,"2015","2","28",6.45103883743286,
49.856404,6.448138,t26,"2015","2","28",6.46010684967041,
50.735368,6.294149,t24,"2015","3",true,6.52473402023315,
50.756932,6.321338,t28,"2015","3",true,7.30893707275391,
50.707151,6.391554,t28,"2015","3",true,6.52473402023315,
49.856404,6.448138,t25,"2015","3",true,6.52770185470581,
50.735368,6.294149,t23,"2015","3","2",6.52351522445679,
50.756932,6.321338,t27,"2015","3","2",7.30682897567749,
50.707151,6.391554,t27,"2015","3","2",6.52351522445679,
49.856404,6.448138,t24,"2015","3","2",6.56148910522461,
50.735368,6.294149,t22,"2015","3","3",6.54669666290283,
50.756932,6.321338,t26,"2015","3","3",7.3293080329895,
50.707151,6.391554,t26,"2015","3","3",6.54669666290283,
49.856404,6.448138,t23,"2015","3","3",6.5325756072998,
50.735368,6.294149,t21,"2015","3","4",6.49264669418335,
50.756932,6.321338,t25,"2015","3","4",7.29916715621948,
50.707151,6.391554,t25,"2015","3","4",6.49264669418335,
49.856404,6.448138,t22,"2015","3","4",6.48408317565918,
50.735368,6.294149,t20,"2015","3","5",6.44740533828735,
50.756932,6.321338,t24,"2015","3","5",7.26593637466431,
50.707151,6.391554,t24,"2015","3","5",6.44740533828735,
49.856404,6.448138,t21,"2015","3","5",6.45096111297607,
50.735368,6.294149,t19,"2015","3","6",6.42525863647461,
50.756932,6.321338,t23,"2015","3","6",7.24810981750488,
50.707151,6.391554,t23,"2015","3","6",6.42525863647461,
