principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Wouter Beukema,Belgium,,2015,50.957724,3.724506,2015_BEL_06,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spitzen-van der Sluijs et al. 2016,,
Wouter Beukema,Belgium,,2019,50.46889,5.74459,2019_BEL_01,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2018,50.46889,5.74459,2018_BEL_01,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.46889,5.74459,2017_BEL_30,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.46889,5.74459,2017_BEL_31,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2020,50.582561,5.769036971,2020_BEL_01,,Salamandra,salamandra,,,,NA,TRUE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,mortality event with > 50 dead salamanders,
Wouter Beukema,Belgium,,NA,50.64458,3.954857,BEL_02,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.67638,4.59534,2017_BEL_32,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.977754,3.906544,2017_BEL_33,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2016,50.977754,3.906544,2016_BEL_07,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
