Count,Genus,Species,Location,Lat,Lon,Day,Month,Year,Date,Code,Bsal,Bd,RV,Fate,Notes
1,Pelophylax,sp.,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0248,0,0,0,Returned,
1,Pelophylax ,sp.,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0226,0,0,0,Returned,
1,Salamandra ,salamandra,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0212,0,0,0,Returned,
1,Triturus,anatolicus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0231,0,0,0,Removed,
1,Triturus,anatolicus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0232,0,0,0,Removed,
1,Triturus,anatolicus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0238,0,0,0,Removed,
1,Triturus,anatolicus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0240,0,0,0,Removed,
1,Triturus,anatolicus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0241,0,0,0,Removed,
1,Triturus,anatolicus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0244,0,0,0,Removed,
1,Triturus,anatolicus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0245,0,0,0,Removed,
1,Triturus,anatolicus x marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0242,0,0,0,Removed,
1,Triturus,anatolicus x marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0243,0,0,0,Removed,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0256,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0257,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0258,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0259,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0260,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0261,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0264,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0265,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0266,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0267,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0268,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0269,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0271,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0272,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0273,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0274,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0275,0,0,0,Returned,
1,Triturus,marmoratus,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0276,0,0,0,Returned,
