"L1","Lon","Lat","GID_2","GID_0","COUNTRY","GID_1","NAME_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
66,5.261291,50.155227,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
67,4.95521,50.492301,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
68,4.95521,50.492301,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
69,5.22195,50.17741,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
70,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
71,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
72,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
73,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
74,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
75,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
76,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
77,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
78,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
79,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
