"decimalLongitude","decimalLatitude","L1","transLon","transLat"
9.002659,46.159648,185,4243876.22045901,2561249.8452638
9.002659,46.159648,186,4243876.22045901,2561249.8452638
9.002659,46.159648,187,4243876.22045901,2561249.8452638
9.002659,46.159648,188,4243876.22045901,2561249.8452638
9.002659,46.159648,189,4243876.22045901,2561249.8452638
9.002659,46.159648,190,4243876.22045901,2561249.8452638
9.002659,46.159648,191,4243876.22045901,2561249.8452638
9.002659,46.159648,192,4243876.22045901,2561249.8452638
9.002659,46.159648,193,4243876.22045901,2561249.8452638
9.002659,46.159648,194,4243876.22045901,2561249.8452638
9.002659,46.159648,195,4243876.22045901,2561249.8452638
9.002659,46.159648,196,4243876.22045901,2561249.8452638
9.002659,46.159648,197,4243876.22045901,2561249.8452638
9.002659,46.159648,198,4243876.22045901,2561249.8452638
9.002659,46.159648,199,4243876.22045901,2561249.8452638
9.002659,46.159648,200,4243876.22045901,2561249.8452638
9.002659,46.159648,201,4243876.22045901,2561249.8452638
9.002659,46.159648,202,4243876.22045901,2561249.8452638
9.002659,46.159648,203,4243876.22045901,2561249.8452638
9.002659,46.159648,204,4243876.22045901,2561249.8452638
9.002659,46.159648,205,4243876.22045901,2561249.8452638
9.002659,46.159648,206,4243876.22045901,2561249.8452638
9.002659,46.159648,207,4243876.22045901,2561249.8452638
9.002659,46.159648,208,4243876.22045901,2561249.8452638
9.002659,46.159648,209,4243876.22045901,2561249.8452638
9.002659,46.159648,210,4243876.22045901,2561249.8452638
9.002659,46.159648,211,4243876.22045901,2561249.8452638
9.002659,46.159648,212,4243876.22045901,2561249.8452638
9.002659,46.159648,213,4243876.22045901,2561249.8452638
9.002659,46.159648,214,4243876.22045901,2561249.8452638
9.002659,46.159648,215,4243876.22045901,2561249.8452638
9.002659,46.159648,216,4243876.22045901,2561249.8452638
9.002659,46.159648,217,4243876.22045901,2561249.8452638
9.002659,46.159648,218,4243876.22045901,2561249.8452638
9.002659,46.159648,219,4243876.22045901,2561249.8452638
9.002659,46.159648,220,4243876.22045901,2561249.8452638
9.002659,46.159648,221,4243876.22045901,2561249.8452638
9.002659,46.159648,222,4243876.22045901,2561249.8452638
9.002659,46.159648,223,4243876.22045901,2561249.8452638
9.002659,46.159648,224,4243876.22045901,2561249.8452638
9.002659,46.159648,225,4243876.22045901,2561249.8452638
9.002659,46.159648,226,4243876.22045901,2561249.8452638
9.002659,46.159648,227,4243876.22045901,2561249.8452638
9.002659,46.159648,228,4243876.22045901,2561249.8452638
9.002659,46.159648,229,4243876.22045901,2561249.8452638
9.002659,46.159648,230,4243876.22045901,2561249.8452638
9.002659,46.159648,231,4243876.22045901,2561249.8452638
9.002659,46.159648,232,4243876.22045901,2561249.8452638
9.002659,46.159648,233,4243876.22045901,2561249.8452638
9.002659,46.159648,234,4243876.22045901,2561249.8452638
9.002659,46.159648,235,4243876.22045901,2561249.8452638
9.002659,46.159648,236,4243876.22045901,2561249.8452638
9.002659,46.159648,237,4243876.22045901,2561249.8452638
9.002659,46.159648,238,4243876.22045901,2561249.8452638
9.002659,46.159648,239,4243876.22045901,2561249.8452638
9.002659,46.159648,240,4243876.22045901,2561249.8452638
9.002659,46.159648,241,4243876.22045901,2561249.8452638
9.002659,46.159648,242,4243876.22045901,2561249.8452638
9.002659,46.159648,243,4243876.22045901,2561249.8452638
9.002659,46.159648,244,4243876.22045901,2561249.8452638
9.002659,46.159648,245,4243876.22045901,2561249.8452638
9.002659,46.159648,246,4243876.22045901,2561249.8452638
9.002659,46.159648,247,4243876.22045901,2561249.8452638
9.002659,46.159648,248,4243876.22045901,2561249.8452638
