fid,L1,Lon,Lat,iucn_sr1
262,262,9.002659,46.159648,7
263,263,9.002659,46.159648,7
264,264,9.002659,46.159648,7
265,265,9.002659,46.159648,7
266,266,9.002659,46.159648,7
267,267,9.002659,46.159648,7
268,268,9.002659,46.159648,7
269,269,9.002659,46.159648,7
270,270,9.002659,46.159648,7
271,271,9.002659,46.159648,7
272,272,9.002659,46.159648,7
273,273,9.002659,46.159648,7
274,274,9.002659,46.159648,7
275,275,9.002659,46.159648,7
276,276,9.002659,46.159648,7
277,277,9.002659,46.159648,7
278,278,8.7741,46.274131,7
279,279,8.7741,46.274131,7
280,280,8.7741,46.274131,7
281,281,8.7741,46.274131,7
282,282,8.7741,46.274131,7
283,283,8.7741,46.274131,7
284,284,8.7741,46.274131,7
285,285,8.7741,46.274131,7
286,286,8.7741,46.274131,7
287,287,8.7741,46.274131,7
288,288,9.002659,46.159648,7
289,289,9.002659,46.159648,7
290,290,9.002659,46.159648,7
291,291,9.002659,46.159648,7
292,292,9.002659,46.159648,7
293,293,9.002659,46.159648,7
294,294,9.002659,46.159648,7
295,295,9.028099,45.927315,7
296,296,9.028099,45.927315,7
297,297,9.028099,45.927315,7
298,298,9.028099,45.927315,7
299,299,9.028099,45.927315,7
300,300,9.028099,45.927315,7
301,301,9.028099,45.927315,7
302,302,9.028099,45.927315,7
303,303,9.028099,45.927315,7
304,304,9.028099,45.927315,7
305,305,9.028099,45.927315,7
306,306,9.028099,45.927315,7
307,307,9.028099,45.927315,7
308,308,9.028099,45.927315,7
309,309,8.741555,46.174407,7
310,310,8.741555,46.174407,7
311,311,8.741555,46.174407,7
312,312,8.741555,46.174407,7
313,313,8.741555,46.174407,7
314,314,8.741555,46.174407,7
315,315,8.741555,46.174407,7
316,316,8.741555,46.174407,7
317,317,8.741555,46.174407,7
318,318,8.741555,46.174407,7
319,319,9.002659,46.159648,7
320,320,9.002659,46.159648,7
321,321,9.002659,46.159648,7
322,322,9.002659,46.159648,7
323,323,9.002659,46.159648,7
324,324,9.002659,46.159648,7
325,325,9.002659,46.159648,7
326,326,9.002659,46.159648,7
327,327,9.002659,46.159648,7
328,328,9.002659,46.159648,7
329,329,9.002659,46.159648,7
330,330,9.002659,46.159648,7
331,331,9.002659,46.159648,7
332,332,9.002659,46.159648,7
333,333,9.002659,46.159648,7
334,334,9.002659,46.159648,7
335,335,6.167827,51.099426,16
336,336,6.167827,51.099426,16
337,337,6.167827,51.099426,16
338,338,6.167827,51.099426,16
339,339,6.167827,51.099426,16
340,340,6.167827,51.099426,16
341,341,6.167827,51.099426,16
342,342,6.167827,51.099426,16
343,343,6.366395,50.747077,15
344,344,9.299841,49.314267,14
345,345,9.299841,49.314267,14
346,346,9.299841,49.314267,14
347,347,9.299841,49.314267,14
348,348,6.359245,50.266289,13
349,349,7.043988,51.413459,13
350,350,7.043988,51.413459,13
351,351,7.043988,51.413459,13
352,352,7.043988,51.413459,13
353,353,7.043988,51.413459,13
354,354,7.043988,51.413459,13
355,355,7.043988,51.413459,13
356,356,7.043988,51.413459,13
357,357,7.043988,51.413459,13
358,358,7.043988,51.413459,13
359,359,7.043988,51.413459,13
